epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.00029,1.34029,4.29857,1.56274,0.66601,0.07096,0.0666,0.04629,1.27759,3.43732,1.49808,9.72097e-05,9.72097e-05,9.72097e-05
2,16.9996,1.29493,3.60912,1.52251,0.19583,0.23919,0.13936,0.09222,1.36931,2.87108,1.63481,0.000191345,0.000191345,0.000191345
3,24.7285,1.34225,3.2942,1.54439,0.15375,0.30081,0.15362,0.09794,1.41464,2.80188,1.70268,0.000281599,0.000281599,0.000281599
4,32.3474,1.33781,3.0567,1.52822,0.1883,0.28867,0.1951,0.13326,1.32937,2.70022,1.61826,0.000276536,0.000276536,0.000276536
5,39.8455,1.30486,2.84818,1.50575,0.22242,0.32854,0.24054,0.15646,1.3259,2.36283,1.55691,0.000270715,0.000270715,0.000270715
6,47.2188,1.28336,2.76956,1.49501,0.24677,0.38806,0.27849,0.17535,1.35349,2.33319,1.56571,0.000264894,0.000264894,0.000264894
7,54.6633,1.27165,2.66752,1.47226,0.25588,0.40218,0.30992,0.20703,1.31135,2.24387,1.55137,0.000259073,0.000259073,0.000259073
8,62.0478,1.24993,2.55403,1.46074,0.36172,0.39453,0.35069,0.24878,1.27541,2.14859,1.49878,0.000253252,0.000253252,0.000253252
9,69.471,1.26004,2.49979,1.46126,0.31444,0.4019,0.32768,0.23005,1.30324,2.13077,1.52692,0.00024743,0.00024743,0.00024743
10,76.8095,1.23824,2.43399,1.44256,0.37498,0.42313,0.35561,0.24989,1.28591,2.18227,1.4972,0.000241609,0.000241609,0.000241609
11,84.1343,1.23329,2.37733,1.42536,0.35747,0.42175,0.37911,0.25837,1.27813,2.10945,1.48191,0.000235788,0.000235788,0.000235788
12,91.4584,1.21996,2.28518,1.424,0.37685,0.43443,0.39071,0.26678,1.27653,1.99665,1.46392,0.000229967,0.000229967,0.000229967
13,98.9502,1.19458,2.23247,1.40446,0.42773,0.4915,0.41274,0.28591,1.27023,1.9821,1.4733,0.000224146,0.000224146,0.000224146
14,106.179,1.20773,2.1985,1.41739,0.35696,0.48453,0.42303,0.29261,1.26931,1.90663,1.47467,0.000218324,0.000218324,0.000218324
15,113.325,1.21678,2.16154,1.41841,0.41704,0.46926,0.42936,0.2956,1.26945,1.86097,1.45811,0.000212503,0.000212503,0.000212503
16,120.646,1.17269,2.0842,1.37699,0.39595,0.47444,0.44266,0.30513,1.27385,1.81926,1.45021,0.000206682,0.000206682,0.000206682
17,127.919,1.17767,2.05689,1.39159,0.42031,0.51567,0.44574,0.30633,1.25978,1.80306,1.46353,0.000200861,0.000200861,0.000200861
18,135.225,1.18137,2.01745,1.38063,0.39494,0.5137,0.45998,0.31725,1.2637,1.82195,1.45822,0.00019504,0.00019504,0.00019504
19,142.625,1.18039,1.99332,1.3971,0.42941,0.51513,0.47304,0.32234,1.26266,1.78517,1.45609,0.000189218,0.000189218,0.000189218
20,149.812,1.14961,1.94923,1.36477,0.49784,0.46063,0.4768,0.32509,1.27617,1.73783,1.44291,0.000183397,0.000183397,0.000183397
21,157.169,1.1615,1.92433,1.37224,0.4624,0.4763,0.48044,0.33396,1.25069,1.7037,1.44669,0.000177576,0.000177576,0.000177576
22,164.326,1.15637,1.88662,1.3608,0.44248,0.49139,0.456,0.31781,1.26584,1.80045,1.4646,0.000171755,0.000171755,0.000171755
23,171.574,1.15964,1.88175,1.36403,0.46374,0.51781,0.49446,0.34784,1.23531,1.65814,1.42254,0.000165934,0.000165934,0.000165934
24,178.796,1.12634,1.83185,1.34303,0.47231,0.4874,0.48685,0.34091,1.24903,1.66101,1.44067,0.000160112,0.000160112,0.000160112
25,186.135,1.1404,1.79489,1.34931,0.47523,0.47392,0.47762,0.33364,1.23832,1.7091,1.42835,0.000154291,0.000154291,0.000154291
26,193.65,1.14348,1.80772,1.35172,0.48515,0.47365,0.47875,0.33454,1.24813,1.68201,1.43043,0.00014847,0.00014847,0.00014847
27,200.672,1.13296,1.73508,1.34407,0.41993,0.51398,0.4818,0.33439,1.23204,1.64203,1.42488,0.000142649,0.000142649,0.000142649
28,207.772,1.13187,1.75683,1.34088,0.48607,0.48913,0.48842,0.34546,1.22793,1.66333,1.42844,0.000136828,0.000136828,0.000136828
29,214.972,1.13394,1.73687,1.34203,0.51105,0.4806,0.49534,0.34634,1.24642,1.63735,1.43996,0.000131006,0.000131006,0.000131006
30,222.271,1.12391,1.69207,1.33469,0.46227,0.50704,0.48419,0.33926,1.23296,1.64921,1.40489,0.000125185,0.000125185,0.000125185
31,229.295,1.09459,1.66858,1.32663,0.49184,0.5143,0.51584,0.35012,1.25242,1.60957,1.43352,0.000119364,0.000119364,0.000119364
32,236.566,1.11566,1.64828,1.32495,0.49664,0.5178,0.50856,0.35869,1.24153,1.61459,1.43105,0.000113543,0.000113543,0.000113543
33,243.636,1.10566,1.62653,1.31703,0.43887,0.52977,0.50013,0.34944,1.24124,1.60498,1.42205,0.000107722,0.000107722,0.000107722
34,250.73,1.11415,1.61844,1.32355,0.4791,0.53241,0.51358,0.35864,1.24707,1.57262,1.43315,0.0001019,0.0001019,0.0001019
35,257.754,1.10621,1.61572,1.31895,0.48308,0.54587,0.51876,0.362,1.23542,1.6065,1.42985,9.60792e-05,9.60792e-05,9.60792e-05
36,264.856,1.09894,1.59988,1.31346,0.4913,0.49463,0.50846,0.35661,1.23375,1.61335,1.42738,9.0258e-05,9.0258e-05,9.0258e-05
37,271.969,1.09561,1.57587,1.31029,0.47895,0.55832,0.52276,0.36129,1.23149,1.56239,1.42601,8.44368e-05,8.44368e-05,8.44368e-05
38,279.222,1.08573,1.54346,1.31145,0.53732,0.5099,0.52714,0.37157,1.23284,1.56368,1.41524,7.86156e-05,7.86156e-05,7.86156e-05
39,286.54,1.06953,1.55376,1.30455,0.50266,0.51949,0.51746,0.36467,1.23537,1.5803,1.42905,7.27944e-05,7.27944e-05,7.27944e-05
40,293.643,1.10468,1.52915,1.31387,0.58942,0.46885,0.52422,0.36636,1.24551,1.58087,1.43223,6.69732e-05,6.69732e-05,6.69732e-05
41,306.463,1.05022,1.51595,1.31191,0.52062,0.47389,0.51004,0.35698,1.22715,1.57525,1.41589,6.1152e-05,6.1152e-05,6.1152e-05
42,313.491,1.02836,1.39721,1.28822,0.50038,0.49917,0.50836,0.36149,1.22831,1.56981,1.40639,5.53308e-05,5.53308e-05,5.53308e-05
43,320.482,1.02176,1.39885,1.29808,0.48086,0.55455,0.52644,0.36863,1.22671,1.56309,1.41534,4.95096e-05,4.95096e-05,4.95096e-05
44,327.467,1.02128,1.40785,1.29226,0.52431,0.53214,0.52476,0.36451,1.22503,1.54837,1.4104,4.36884e-05,4.36884e-05,4.36884e-05
45,334.379,1.0052,1.3524,1.28349,0.53161,0.52583,0.53314,0.37315,1.22696,1.53704,1.41913,3.78672e-05,3.78672e-05,3.78672e-05
46,341.43,1.00241,1.33106,1.27841,0.52911,0.5145,0.52686,0.37138,1.23062,1.5554,1.42031,3.2046e-05,3.2046e-05,3.2046e-05
47,348.415,0.99314,1.31546,1.27594,0.51048,0.53043,0.52887,0.36995,1.23088,1.55052,1.42248,2.62248e-05,2.62248e-05,2.62248e-05
48,355.346,0.99129,1.30195,1.27642,0.48558,0.55611,0.53346,0.37503,1.22013,1.53548,1.4196,2.04036e-05,2.04036e-05,2.04036e-05
49,362.474,1.00444,1.29529,1.28091,0.49013,0.53817,0.53216,0.37336,1.22257,1.53808,1.41662,1.45824e-05,1.45824e-05,1.45824e-05
